FID;FID_dai_lo;ID;INFO;UNSICHER;OLD;FID_phucso;ID_1;INFO_1;UNSICHER_1;OLD_1;FID_dong_g;ID_12;INFO_12;OLD_12;UNSICHER_2;FID_namgia;ID_12_13;INFO_12_13;UNSICHER_3;OLD_12_13;BUFF_DIST;area;ORIG_FID;TPFID;soil1;waterriver;VGTB_LandC;Topographi;litho1;fill_dgmq3;curvature;aspect;dgm_slope1;NEAR_FID;NEAR_DIST;curv_pln;curv_profi;longitude;latitude;is_ls
34;35;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;34;34;10;99;2;5,1723499;2;113,9120026;0,6748590;101,0270004;18,9734001;4028;13,196942185899999;0,2530150;-0,4218430;793740,0000000;1750030,0000000;1
35;36;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;35;35;10;90;3;5,0498800;2;138,7319946;0,2656970;244,4579926;28,2110004;21;0,196645938730000;0,0641666;-0,2015300;793519,0000000;1750390,0000000;1
36;37;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;36;36;10;90;3;5,3382502;2;148,6479950;-0,7317830;229,3690033;24,3738003;21;9,311071563600001;-0,3818230;0,3499600;793422,0000000;1750540,0000000;1
37;38;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;37;37;3;60;5;5,6392598;2;366,7330017;0,7240600;151,4700012;23,0011005;4027;10,526696375700000;0,1807250;-0,5433350;790796,0000000;1749010,0000000;1
38;39;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;38;38;3;99;1;4,7827101;2;452,3590088;0,6504410;29,6791992;29,4908009;4026;15,345128503000000;0,1919580;-0,4584840;789565,0000000;1750970,0000000;1
39;40;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;39;39;3;99;5;4,8927398;2;447,9230042;1,8953100;69,8945007;18,5741005;21;12,151427031500001;1,0724699;-0,8228410;789702,0000000;1750900,0000000;1
40;41;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;40;40;3;99;5;4,4594402;2;557,0319824;-0,2569440;101,6650009;34,0709000;21;5,682531795190000;0,4783090;0,7352530;789351,0000000;1751530,0000000;1
41;42;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;41;41;3;99;5;4,4479699;2;591,8250122;1,3290900;98,4598999;30,9594994;21;5,792172224610000;0,5973790;-0,7317160;789339,0000000;1751970,0000000;1
42;43;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;42;42;3;99;3;4,9225702;2;418,1560059;0,6750830;323,9930115;29,4661999;43;412,580929958000013;0,5201550;-0,1549280;788930,0000000;1753350,0000000;1
43;44;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;43;43;3;99;3;5,1128402;2;487,8760071;0,1005790;22,1758003;28,3423004;43;366,698705750999977;-0,2513190;-0,3518980;789063,0000000;1753240,0000000;1
44;45;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;44;44;3;99;2;5,0838099;2;581,9409790;-1,0315400;57,7234993;16,1018009;4025;16,779205992500000;-0,0251611;1,0063800;788856,0000000;1752800,0000000;1
45;46;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;45;45;3;99;5;4,4202900;3;469,7829895;0,3754480;205,1459961;35,3176003;42;4,807580532300000;0,4200610;0,0446139;785337,0000000;1752710,0000000;1
46;47;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;46;46;3;60;5;4,5298100;3;496,8930054;0,3737620;209,0330048;27,5769005;4024;46,500201207200000;0,6241860;0,2504240;784330,0000000;1755440,0000000;1
47;48;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;47;47;3;60;5;5,9208298;3;486,8439941;-0,0944316;272,0130005;19,1742001;42;2,670384403180000;-0,3496120;-0,2551810;784258,0000000;1755940,0000000;1
48;49;0,000000000000000;a;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;48;48;2;60;2;5,5093398;3;476,0620117;-0,5690950;18,6133995;37,6539993;4024;179,979538550999990;0,3448290;0,9139240;784039,0000000;1756000,0000000;1
49;50;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;49;49;3;99;2;4,3574300;3;517,5960083;0,2521330;176,5650024;32,4031982;4023;297,233401199000014;0,6373440;0,3852110;783102,0000000;1757200,0000000;1
50;51;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;50;50;3;60;5;4,5875502;3;520,1690063;0,8967860;200,7700043;32,5131989;4023;24,691107575800000;-0,1325160;-1,0293000;783428,0000000;1758940,0000000;1
51;52;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;51;51;3;60;5;5,3742599;3;476,9710083;-0,1707930;231,7940063;15,7817001;4023;21,479277421799999;-0,2758660;-0,1050730;783702,0000000;1758770,0000000;1
52;53;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;52;52;3;90;2;4,4716501;3;507,9389954;1,9253300;109,6269989;24,5967007;4492;116,755050935000000;1,4776000;-0,4477350;782687,0000000;1758960,0000000;1
53;54;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;53;53;3;99;3;5,1799202;3;488,9739990;0,0133226;301,0090027;15,9237003;42;68,846279895699993;0,2458390;0,2325170;783520,0000000;1759230,0000000;1
54;55;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;54;54;3;60;2;6,0786800;3;492,5000000;-1,5291600;238,3379974;20,6270008;42;11,421006211900000;-0,1218970;1,4072599;783408,0000000;1759570,0000000;1
55;56;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;55;55;3;90;2;5,0259399;3;527,9849854;-0,1760360;270,3089905;40,8908005;42;7,168530989630000;-0,7690130;-0,5929780;782616,0000000;1760170,0000000;1
56;57;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;56;56;3;60;5;5,3129501;3;498,1780090;-1,7988100;274,3410034;20,5394993;42;3,675606055080000;-0,4875520;1,3112600;782552,0000000;1760500,0000000;1
57;58;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;57;57;3;60;5;6,4442101;3;499,1359863;-0,6778630;204,1790009;8,4943399;42;11,381549099300001;-0,1690030;0,5088600;782516,0000000;1760650,0000000;1
58;59;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;58;58;3;60;5;4,8297000;3;516,0380249;1,6012100;240,7949982;23,2369995;4023;13,568615232599999;0,8072050;-0,7940010;782287,0000000;1760950,0000000;1
59;60;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;59;59;3;99;3;5,7698398;4;154,8520050;0,5561790;295,3880005;18,2849998;3956;353,215610716000015;0,0555298;-0,5006500;805179,0000000;1726730,0000000;1
60;61;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;60;60;3;99;3;4,7432199;4;152,8390045;0,7081450;309,6369934;28,4785004;3956;329,105802587000028;0,2847100;-0,4234350;805213,0000000;1726790,0000000;1
61;62;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;61;61;3;99;3;4,7159600;3;141,9329987;1,2091399;120,9879990;26,8085003;3955;38,584259800100000;0,7919470;-0,4171980;802706,0000000;1723240,0000000;1
62;63;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;62;62;3;90;3;5,0291300;3;119,8069992;-0,7170560;67,5270004;27,5911007;40;26,660600658400000;-0,1579620;0,5590940;802593,0000000;1722580,0000000;1
63;64;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;63;63;3;30;2;4,7365999;3;114,6179962;0,2712780;184,6889954;23,6462002;4401;48,669293720900001;0,3460130;0,0747342;802505,0000000;1722350,0000000;1
64;65;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;64;64;3;60;5;5,3457098;3;110,3700027;-0,4394870;163,7819977;23,1380997;4401;73,948791523699995;0,1479830;0,5874700;802554,0000000;1722350,0000000;1
65;66;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;65;65;3;60;2;4,8823400;3;117,5810013;-0,3930440;150,1150055;25,8104992;40;64,433059027599995;0,1852080;0,5782510;802589,0000000;1722360,0000000;1
66;67;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;66;66;3;99;3;5,5455899;3;189,3560028;-1,1289999;104,7279968;34,7999992;40;44,409221064299999;-0,3952670;0,7337330;802104,0000000;1718860,0000000;1
67;68;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;67;67;3;99;1;5,6934900;3;153,9309998;-0,3115010;44,8334007;25,7863007;40;2,061581544680000;0,0535736;0,3650750;802254,0000000;1718510,0000000;1
68;69;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;68;68;3;90;1;4,9526200;3;148,8139954;0,3641970;60,0560989;30,0802002;40;6,169637976200000;0,1576360;-0,2065610;802323,0000000;1718440,0000000;1
69;70;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;69;69;3;99;1;5,4288201;3;130,4049988;-0,8361320;74,6303024;27,2658005;40;24,105225740200002;0,3740600;1,2101901;802030,0000000;1716590,0000000;1
70;71;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;70;70;3;99;2;5,7982998;4;216,2429962;0,0727183;157,6430054;15,7100000;3968;14,785987373399999;0,2254060;0,1526880;803625,0000000;1711640,0000000;1
71;72;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;71;71;3;90;3;4,9845400;3;249,7460022;0,7018470;173,9709930;22,7807007;40;19,405672250999999;0,4712010;-0,2306450;803216,0000000;1711660,0000000;1
72;73;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;72;72;3;99;2;7,2308502;3;221,7050018;0,1041950;41,9562988;12,7195997;3947;70,727579187499998;0,0412941;-0,0629014;803237,0000000;1711500,0000000;1
73;74;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;73;73;3;99;5;5,3304200;3;320,0520020;-0,0307922;113,4479980;14,2327003;40;33,588639677600000;0,0381591;0,0689514;803007,0000000;1710820,0000000;1
