FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
532;0;-0,1674340;99;5;12,4345999;2;5,1968298;203,9369965;0,0391961;0,2066300;3;13;1076,949386020000020;826844,0000000;1786680,0000000;0;7,9848800
533;0;-0,7868650;90;6;1065,4300537;3;30,9395008;232,9900055;0,0393506;0,8262160;1;54;64,357689689799997;798647,0000000;1680810,0000000;0;4,8324599
534;0;0,3228700;99;2;62,3296013;4;4,6822500;61,9394989;0,4049840;0,0821144;3;3;280,551739005999991;854624,0000000;1714560,0000000;0;6,2744899
535;0;-0,0458105;99;2;12,9408998;5;5,3250599;231,0650024;0,0182433;0,0640538;4;10;202,835166764000007;872229,0000000;1721020,0000000;0;7,9977398
536;0;0,1477890;99;2;18,0170002;5;3,9040501;192,4320068;0,1254380;-0,0223513;4;10;677,123810739999954;872071,0000000;1722630,0000000;0;7,7601099
537;0;1,1162699;99;3;79,5505981;3;17,5636005;139,4040070;0,7706010;-0,3456710;3;46;1328,552539569999908;815555,0000000;1756140,0000000;0;4,8763299
538;0;1,2162100;99;2;181,6730042;4;21,7357998;113,3320007;0,2025390;-1,0136700;3;23;814,927844864999997;794354,0000000;1734830,0000000;0;4,9065199
539;0;-0,3728940;30;4;434,8710022;4;4,0042901;128,5240021;-0,0730851;0,2998090;3;23;93,593114246699997;769633,0000000;1728520,0000000;0;8,0628595
540;0;0,1216310;99;2;19,2010994;5;4,0819702;246,4069977;0,0765543;-0,0450765;3;4;141,497534900000005;827816,0000000;1769090,0000000;0;8,4496698
541;0;-0,9838870;60;2;187,7039948;3;20,9323997;293,4580078;-0,4733830;0,5105040;3;4;430,345411522000006;820598,0000000;1766080,0000000;0;6,8354802
542;0;-0,1897700;99;1;143,7940063;3;26,2166996;143,8750000;-0,1024600;0,0873097;10;46;1168,909464079999907;806828,0000000;1758840,0000000;0;5,0701399
543;0;0,2722270;99;3;337,8980103;3;30,9515991;112,6480026;0,2591580;-0,0130689;3;37;227,760205210000009;799219,0000000;1707410,0000000;0;5,2176099
544;0;-0,1318450;0;2;8,1509800;5;1,4933100;104,1139984;-0,0730453;0,0587998;2;51;312,091717714000026;869248,0000000;1729150,0000000;0;9,1511602
545;0;-0,0469699;99;2;1156,1899414;4;13,2342997;54,1012001;-0,0709824;-0,0240125;1;54;420,954592246000004;793021,0000000;1684530,0000000;0;6,6104298
546;0;0,0582716;99;2;462,5490112;3;4,3839598;142,2749939;0,1309460;0,0726741;3;25;74,592873051300003;795749,0000000;1701110,0000000;0;6,0298800
547;0;-0,1215390;30;2;54,0508995;4;1,1141000;264,7090149;-0,0000000;0,1215390;3;40;12,347137284400000;801470,0000000;1733230,0000000;0;7,6801000
548;0;-0,9406030;99;3;453,1239929;2;28,8889999;63,0754013;-0,2305270;0,7100750;3;23;61,496121178300001;776400,0000000;1732360,0000000;0;4,9062400
549;0;-0,2122730;99;1;809,1199951;3;36,8839989;78,3719025;-0,3222840;-0,1100100;3;29;790,126289821000000;763254,0000000;1765270,0000000;0;4,5986199
